code,single,multi_1,multi_2
'00800ZZ','1','1','1.1'
'00803ZZ','1','1','1.1'
'00804ZZ','1','1','1.1'
'00870ZZ','1','1','1.1'
'00873ZZ','1','1','1.1'
'00874ZZ','1','1','1.1'
'00880ZZ','1','1','1.1'
'00883ZZ','1','1','1.1'
'00884ZZ','1','1','1.1'
'008F0ZZ','1','1','1.1'
'008F3ZZ','1','1','1.1'
'008F4ZZ','1','1','1.1'
'008G0ZZ','1','1','1.1'
'008G3ZZ','1','1','1.1'
'008G4ZZ','1','1','1.1'
'008H0ZZ','1','1','1.1'
'008H3ZZ','1','1','1.1'
'008H4ZZ','1','1','1.1'
'008J0ZZ','1','1','1.1'
'008J3ZZ','1','1','1.1'
'008J4ZZ','1','1','1.1'
'008K0ZZ','1','1','1.1'
'008K3ZZ','1','1','1.1'
'008K4ZZ','1','1','1.1'
'008L0ZZ','1','1','1.1'
'008L3ZZ','1','1','1.1'
'008L4ZZ','1','1','1.1'
'008M0ZZ','1','1','1.1'
'008M3ZZ','1','1','1.1'
'008M4ZZ','1','1','1.1'
'008N0ZZ','1','1','1.1'
'008N3ZZ','1','1','1.1'
'008N4ZZ','1','1','1.1'
'008P0ZZ','1','1','1.1'
'008P3ZZ','1','1','1.1'
'008P4ZZ','1','1','1.1'
'008Q0ZZ','1','1','1.1'
'008Q3ZZ','1','1','1.1'
'008Q4ZZ','1','1','1.1'
'008R0ZZ','1','1','1.1'
'008R3ZZ','1','1','1.1'
'008R4ZZ','1','1','1.1'
'008S0ZZ','1','1','1.1'
'008S3ZZ','1','1','1.1'
'008S4ZZ','1','1','1.1'
'009000Z','1','1','1.1'
'00900ZZ','1','1','1.1'
'009030Z','1','1','1.1'
'00903ZZ','1','1','1.1'
'009040Z','1','1','1.1'
'00904ZZ','1','1','1.1'
'009100Z','1','1','1.1'
'00910ZZ','1','1','1.1'
'009130Z','1','1','1.1'
'00913ZZ','1','1','1.1'
'009140Z','1','1','1.1'
'00914ZZ','1','1','1.1'
'009200Z','1','1','1.1'
'00920ZZ','1','1','1.1'
'009230Z','1','1','1.1'
'00923ZZ','1','1','1.1'
'009240Z','1','1','1.1'
'00924ZZ','1','1','1.1'
