code,multi_1,multi_2,multi_3
'0121','1','1.1','1.1.1'
'0122','1','1.1','1.1.1'
'0123','1','1.1','1.1.1'
'0124','1','1.1','1.1.1'
'0125','1','1.1','1.1.1'
'0131','1','1.1','1.1.2'
'0101','1','1.1','1.1.3'
'0109','1','1.1','1.1.3'
'0126','1','1.1','1.1.3'
'0127','1','1.1','1.1.3'
'0128','1','1.1','1.1.3'
'0132','1','1.1','1.1.3'
'0139','1','1.1','1.1.3'
'0141','1','1.1','1.1.3'
'0142','1','1.1','1.1.3'
'0151','1','1.1','1.1.3'
'0152','1','1.1','1.1.3'
'0153','1','1.1','1.1.3'
'0159','1','1.1','1.1.3'
'0231','1','1.2',' '
'0232','1','1.2',' '
'0233','1','1.2',' '
'0234','1','1.2',' '
'0235','1','1.2',' '
'0239','1','1.2',' '
'0242','1','1.2',' '
'0243','1','1.2',' '
'805 ','1','1.3','1.3.1'
'8050','1','1.3','1.3.1'
'8051','1','1.3','1.3.1'
'8059','1','1.3','1.3.1'
'0302','1','1.3','1.3.2'
'0309','1','1.3','1.3.2'
'8459','1','1.3','1.3.2'
'8460','1','1.3','1.3.2'
'8461','1','1.3','1.3.2'
'8462','1','1.3','1.3.2'
'8463','1','1.3','1.3.2'
'8464','1','1.3','1.3.2'
'8465','1','1.3','1.3.2'
'8466','1','1.3','1.3.2'
'8467','1','1.3','1.3.2'
'8468','1','1.3','1.3.2'
'8469','1','1.3','1.3.2'
'8480','1','1.3','1.3.2'
'8481','1','1.3','1.3.2'
'8482','1','1.3','1.3.2'
'8483','1','1.3','1.3.2'
'8484','1','1.3','1.3.2'
'8485','1','1.3','1.3.2'
'0331','1','1.4',' '
'038 ','1','1.5',' '
'0390','1','1.5',' '
'0391','1','1.5',' '
'0392','1','1.5',' '
'0393','1','1.5',' '
'0394','1','1.5',' '
'0443','1','1.6','1.6.1'
'0444','1','1.6','1.6.2'
'0449','1','1.6','1.6.2'
'0111','1','1.7',' '
'0112','1','1.7',' '
'0113','1','1.7',' '
'0114','1','1.7',' '
'0115','1','1.7',' '
'0118','1','1.7',' '
'0119','1','1.7',' '
'0332','1','1.7',' '
'0339','1','1.7',' '
'0411','1','1.7',' '
'0412','1','1.7',' '
'0419','1','1.7',' '
'0511','1','1.7',' '
'0519','1','1.7',' '
'0102','1','1.8',' '
'0241','1','1.8',' '
'0295','1','1.8',' '
'0321','1','1.8',' '
'0395','1','1.8',' '
'0396','1','1.8',' '
'0480','1','1.8',' '
'0481','1','1.8',' '
'0489','1','1.8',' '
'0531','1','1.8',' '
'0532','1','1.8',' '
'0539','1','1.8',' '
'0120','1','1.9',' '
'0129','1','1.9',' '
'016 ','1','1.9',' '
'0201','1','1.9',' '
'0202','1','1.9',' '
'0203','1','1.9',' '
'0204','1','1.9',' '
'0205','1','1.9',' '
'0206','1','1.9',' '
'0207','1','1.9',' '
'0211','1','1.9',' '
'0212','1','1.9',' '
'0213','1','1.9',' '
'0214','1','1.9',' '
'022 ','1','1.9',' '
'0221','1','1.9',' '
'0222','1','1.9',' '
'0291','1','1.9',' '
'0292','1','1.9',' '
'0293','1','1.9',' '
'0294','1','1.9',' '
'0296','1','1.9',' '
'0299','1','1.9',' '
'0301','1','1.9',' '
'031 ','1','1.9',' '
'0329','1','1.9',' '
'034 ','1','1.9',' '
'0351','1','1.9',' '
'0352','1','1.9',' '
'0353','1','1.9',' '
'0359','1','1.9',' '
'036 ','1','1.9',' '
'0371','1','1.9',' '
'0372','1','1.9',' '
'0379','1','1.9',' '
'0397','1','1.9',' '
'0398','1','1.9',' '
'0399','1','1.9',' '
'0401','1','1.9',' '
'0402','1','1.9',' '
'0403','1','1.9',' '
'0404','1','1.9',' '
'0405','1','1.9',' '
'0406','1','1.9',' '
'0407','1','1.9',' '
'042 ','1','1.9',' '
'043 ','1','1.9',' '
'0441','1','1.9',' '
'0442','1','1.9',' '
'045 ','1','1.9',' '
'046 ','1','1.9',' '
'0471','1','1.9',' '
'0472','1','1.9',' '
'0473','1','1.9',' '
'0474','1','1.9',' '
'0475','1','1.9',' '
'0476','1','1.9',' '
'0479','1','1.9',' '
'0491','1','1.9',' '
'0492','1','1.9',' '
'0493','1','1.9',' '
'0499','1','1.9',' '
'050 ','1','1.9',' '
'0521','1','1.9',' '
'0522','1','1.9',' '
'0523','1','1.9',' '
'0524','1','1.9',' '
'0525','1','1.9',' '
'0529','1','1.9',' '
'0581','1','1.9',' '
'0589','1','1.9',' '
'059 ','1','1.9',' '
'1761','1','1.9',' '
'8053','1','1.9',' '
'8054','1','1.9',' '
'8458','1','1.9',' '
'8694','1','1.9',' '
'8695','1','1.9',' '
'8696','1','1.9',' '
'8697','1','1.9',' '
'8698','1','1.9',' '
'062 ','2','2.1',' '
'0631','2','2.1',' '
'0639','2','2.1',' '
'064 ','2','2.1',' '
'0650','2','2.1',' '
'0651','2','2.1',' '
'0652','2','2.1',' '
'066 ','2','2.1',' '
'0611','2','2.2',' '
'0612','2','2.2',' '
'0613','2','2.2',' '
'0619','2','2.2',' '
'0700','2','2.2',' '
'0701','2','2.2',' '
'0702','2','2.2',' '
'0711','2','2.2',' '
'0712','2','2.2',' '
'0713','2','2.2',' '
'0714','2','2.2',' '
